RA,DEC
34.01463,34.502804
284.40027,37.05965
281.82513,37.05194
123.296486,37.18684
110.71837,40.113636
139.38203,42.132946
330.10065,22.68332
284.4237,32.31092
196.4851,57.52919
218.54172,55.524364
254.87093,39.04456
284.83392,40.597187
186.87552,55.00478
25.501703,18.907646
189.70607,43.561478
284.46222,36.047626
210.3623,55.171234
14.734471,40.22387
223.52687,55.083508
254.87453,23.964075
212.96797,51.022602
284.47635,32.696648
208.64937,57.489967
282.1015,36.653397
145.29434,29.93454
284.8608,52.922405
210.49687,54.813625
284.86517,50.59965
284.52176,36.181583
256.48514,25.505985
352.45917,34.474934
25.524364,6.3444376
262.10297,32.015057
284.8854,60.24286
210.64348,55.093662
284.55383,37.200542
262.10324,32.01488
267.73685,71.22256
268.56134,76.56322
256.10776,76.63155
284.8911,60.245422
282.23135,37.11334
282.23846,36.546886
4.2768517,4.9337535
262.10364,25.91382
267.73953,70.64121
30.589653,14.666474
244.98424,53.935093
14.798009,28.810795
0.42897096,1.5661157
143.30652,71.946144
21.653208,29.363962
199.09283,43.626637
284.59518,31.739094
4.2793727,5.8206525
154.74902,40.0197
344.32153,25.62366
223.56203,47.298466
109.564125,36.920677
284.6429,36.048843
284.97073,44.74781
284.64288,36.086655
208.72386,57.51392
25.542017,5.3989954
223.5653,55.105495
254.9253,23.865585
10.698649,38.095
110.89392,39.57596
284.66025,40.747417
284.6726,37.23285
285.00424,55.5303
8.330647,39.659748
19.877394,5.7118335
285.0255,42.227184
131.76068,52.977573
4.3241673,3.994068
186.98288,56.94038
25.560982,5.307195
285.29303,55.211258
284.68707,40.13006
284.69113,38.869316
285.03287,43.266895
4.3245654,2.2960832
14.875092,28.784386
107.951584,62.89197
331.939,20.37425
285.4502,54.971905
208.84006,57.30157
123.380516,31.430624
129.69556,42.208637
186.9885,41.96607
34.073,29.441357
285.05106,41.961517
14.888664,28.448952
123.38278,38.01567
145.39355,27.902517
186.98993,44.244095
105.263405,22.782516
120.025406,69.50305
257.83206,78.958084
285.06293,41.055897
284.73688,36.648785
110.311745,43.655098
34.081043,33.91749
285.0767,40.98384
284.7553,31.68379
285.0794,53.259228
278.5527,38.836994
14.906674,28.185669
187.00842,44.691795
223.59727,55.425102
10.770737,38.576164
111.005424,47.089108
111.0243,47.184963
122.68419,33.12389
25.597612,11.024941
110.50917,39.99334
285.1445,39.7323
284.8355,39.134098
25.599592,5.7997236
332.40344,15.311516
284.87347,38.26288
136.795,36.061516
218.60516,55.46954
205.07097,56.843746
4.3528,3.8259377
129.7929,41.119396
223.60684,47.256107
331.5249,28.742752
332.65915,19.673903
278.57974,38.594986
331.05655,19.995802
284.91373,36.842384
332.41412,14.499118
109.22912,64.395
285.2247,55.920685
30.806221,15.691314
4.3774323,2.5487518
331.96133,9.7059
341.92224,31.763958
285.2421,44.87154
285.2451,49.09411
272.35315,63.957115
285.2527,49.307163
282.99893,36.74053
187.08073,44.21972
25.619532,1.423219
196.64993,57.45859
284.99976,38.963062
4.3982153,7.942212
352.7489,34.212875
285.02792,35.66825
285.32208,49.250114
213.23376,54.46567
285.3247,52.0775
140.2947,38.6199
110.36535,39.376385
283.12418,37.088554
255.04543,39.597054
283.13632,41.78292
25.644863,1.472343
255.04648,23.641567
285.39612,49.7256
285.40002,49.255627
267.9866,73.55027
285.12677,38.332478
25.64741,5.521735
263.1324,36.79995
105.35269,60.025707
238.97745,56.331894
105.0244,38.507576
137.80905,71.92403
19.133095,29.361029
255.75923,78.463104
19.058592,29.779043
222.4604,34.076797
240.36647,39.99327
285.15997,36.098602
331.37665,32.13106
155.1633,40.401085
129.91512,56.198406
155.20276,45.8502
223.68591,45.052525
33.947994,30.138056
285.5423,49.770588
263.14694,37.985256
4.438858,4.989162
187.15897,43.9589
285.2606,37.988804
285.26794,31.497377
123.48878,34.044956
255.07745,23.09608
283.4446,36.397243
285.28534,35.797215
109.735176,40.59744
331.87122,32.440083
25.692097,1.680468
153.37201,41.09388
34.203358,30.37234
285.54547,35.718433
4.4776874,1.1836928
25.507076,1.8119378
139.37018,45.32194
143.51735,72.46255
4.4792376,0.058926873
223.73802,42.841988
265.27145,39.82966
153.53793,40.26319
108.048546,75.79673
155.31209,45.103855
255.15279,22.791786
266.9954,41.35674
8.779581,39.379948
285.94162,49.71613
34.21844,32.88131
197.15645,55.478687
4.4901867,3.830708
145.62231,39.831116
223.75797,51.119705
331.54807,22.329153
331.07483,23.015554
4.4917226,3.9329693
209.01971,50.124264
187.25508,41.52101
265.3018,57.037834
283.84146,36.343815
283.84256,36.543808
331.55026,25.402493
256.65152,22.809881
263.18442,39.70531
213.37556,42.29147
180.87042,43.342613
180.62025,79.29457
202.59169,20.107973
223.40236,43.250427
123.53763,32.01988
272.6532,75.32059
255.1975,23.148197
265.31735,41.063885
145.76231,30.248405
25.737232,6.1672397
111.404564,30.460691
4.515152,5.167125
123.54151,33.095947
123.544304,32.878532
